,Posisi,Nama Perusahaan,Lokasi Magang,Kuota,Tunjangan,Program Studi,Hari Libur,URL
4,Analis Data,Direktorat Jendral Penegakan Hukum ESDM,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Lingkungan, Ilmu Komputer, Manajemen, Administrasi, Hukum","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/analis-data-a2439bf8-5f2a-4738-b15e-0413e97f5134
9,Analis Data,Direktorat Jendral Penegakan Hukum ESDM,Kota Adm. Jakarta Selatan,2 kuota,,"Teknik Lingkungan, Ilmu Komputer, Manajemen, Administrasi, Hukum","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/analis-data-a2439698-55f4-4db9-a232-4624f60a7b82
71,Ahli Komputer,Puskesmas Rakit 1,Kab. Banjarnegara,1 kuota,,"Ilmu Komputer, Pendidikan Ilmu Komputer, Pemeliharaan Komputer dan Jaringan, Pendidikan Teknik Informatika & Komputer",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/ahli-komputer-a235cc8e-b502-46fa-9480-d0ef809c7d4c
76,Ahli Komputer,Puskesmas Rakit 1,Kab. Banjarnegara,1 kuota,,"Ilmu Komputer, Pendidikan Ilmu Komputer, Pemeliharaan Komputer dan Jaringan, Pendidikan Teknik Informatika & Komputer",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/ahli-komputer-a235cc8e-b502-46fa-9480-d0ef809c7d4c
88,magang IT Developer,Perusahaan Daerah Pasar Kota Kediri,Kota Kediri,3 kuota,,"Teknik Informatika, Ilmu Komputer, Statistika dan Sains Data, sistem informasi, Manajemen Informatika","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/magang-it-developer-a2315a77-3bcb-4e84-924e-ded9045be34c
120,Business Analyst Apprentice (Specialization Track: System Analyst / Mobile Analyst),Suitmedia Kreasi Indonesia,Kota Adm. Jakarta Selatan,3 kuota,,"Teknologi Rekayasa Perangkat Lunak, Informatika, Ilmu Komputer, Sistem Informasi, Teknik Komputer Dan Jaringan","Minggu, Sabtu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/business-analyst-apprentice-specialization-track:-system-analyst--mobile-analyst-a23f4454-ee0e-49fb-b634-71e2af585e3a
121,Software Engineer Apprentice (Specialization Track: Frontend / Backend / Mobile Developer),Suitmedia Kreasi Indonesia,Kota Adm. Jakarta Selatan,4 kuota,,"Teknologi Rekayasa Perangkat Lunak, Informatika, Ilmu Komputer, Sistem Informasi, Teknik Komputer Dan Jaringan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/software-engineer-apprentice-specialization-track:-frontend--backend--mobile-developer-a23f38fa-4077-4f41-b75b-df12a34561d0
150,Junior IT Intern,Region IX Banjarmasin,Kota Banjarmasin,5 kuota,,"Teknik Informatika, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/junior-it-intern-a2437a36-5c20-447a-9667-bdb804220a10
166,Information & Technology Intern,PT. Traktor Nusantara,Kota Adm. Jakarta Timur,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Komputer, Sistem Informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/information-&-technology-intern-a243c112-085a-4e04-acd0-8e002ddcee62
191,Staf IT (Support dan Web),PT. Surveyor Indonesia Cabang Surabaya,Kota Surabaya,1 kuota,,"Teknik Informatika, Ilmu Komputer, Teknik Komputer Dan Jaringan, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/staf-it-support-dan-web-a2418204-3e88-4c7b-b203-47a3d4539382
235,Quality Assurance Intern,PT Privy Identitas Digital,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/quality-assurance-intern-a24196df-d8e6-470d-8b05-beb66730a9d0
